0.345,0.428,0.512,0.596,0.96,1.159,1.368,1.544,1.75,1.825,1.924,1.978,2.06,2.392,2.49,3.305,3.497,3.543,3.744,4.148,4.209,4.556,4.599,4.65,5.026,5.064,5.152,5.432,5.629,5.757,5.973,6.075,6.173,6.727,7.029,7.293,7.597,7.78,8.155,8.277,8.374,8.479,8.558,8.668,8.816,8.994,9.153,9.341,9.618,9.656,9.887,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.15,0.284,0.411,0.572,0.92,1.275,1.727,1.772,1.798,1.925,2.131,2.194,2.283,2.356,2.43,2.79,3.265,3.592,3.838,3.918,4.311,4.331,4.414,4.659,4.788,5.402,6.417,6.502,6.689,6.782,7.08,7.241,7.422,7.524,7.614,7.865,7.981,8.252,8.603,8.888,8.96,9.053,9.257,9.356,9.726,9.895,9.914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.222,0.271,0.373,0.637,0.698,0.744,1.151,1.299,1.43,1.484,1.69,1.8,2.606,2.767,3.004,3.392,3.446,3.486,3.952,4.233,4.37,4.582,4.655,5.133,5.383,6.037,6.273,6.341,6.962,7.088,7.276,7.381,7.401,7.548,7.741,8.135,8.268,8.306,8.598,8.64,8.718,9.06,9.369,9.577,9.647,9.953,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.621,0.699,0.882,0.918,1.08,1.257,1.526,1.657,1.693,1.966,2.518,2.703,2.983,3.065,3.287,3.421,3.513,3.633,3.882,4.288,4.32,4.472,4.849,4.894,5.021,5.137,5.396,5.49,5.61,5.832,5.92,5.972,6.808,6.861,6.962,7.033,7.245,7.325,7.529,7.606,7.745,7.759,7.787,7.876,8.001,8.391,8.454,8.802,9.2,9.616,9.902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.088,0.132,0.288,0.413,0.62,1.048,1.613,2.184,2.37,2.545,2.829,3.398,3.472,3.524,3.543,3.601,3.817,4.152,4.624,4.675,4.75,5.021,5.327,5.373,5.409,5.468,5.609,5.854,5.88,5.969,6.245,6.557,6.719,7.027,7.195,7.619,7.817,8.089,8.214,8.252,8.438,8.635,8.72,8.743,8.874,8.97,9.087,9.125,9.339,9.381,9.533,9.586,9.786,9.92,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.172,0.22,0.443,0.487,0.713,0.808,0.874,1.146,1.239,1.315,1.65,1.838,2.206,2.818,3.046,3.316,3.617,3.769,3.807,3.961,4.13,4.201,4.309,4.48,4.594,4.703,4.928,5.119,5.285,5.376,5.444,5.603,5.822,5.854,5.903,6.175,6.526,6.674,6.709,6.789,6.902,6.944,6.989,7.199,7.366,8.144,8.427,8.487,8.533,8.565,8.737,9.011,9.188,9.543,9.595,9.67,9.757,9.825,9.887,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.193,1.052,1.178,1.26,1.297,1.59,1.624,1.711,1.773,1.878,1.978,2.278,2.573,2.715,2.754,2.93,3.735,3.917,3.976,4.151,4.206,4.276,4.623,5.032,5.096,5.579,5.708,5.972,6.011,6.337,6.534,6.659,6.83,7.182,7.873,7.942,8.198,8.273,8.316,8.455,8.694,8.749,8.822,9.094,9.166,9.314,9.354,9.525,9.596,9.694,9.973,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.057,0.368,0.433,0.476,0.508,0.54,0.728,0.856,0.976,1.016,1.088,1.419,1.53,1.866,2.117,2.213,2.745,2.765,2.923,2.973,3.072,3.326,3.464,3.688,4.347,4.47,4.593,5.133,5.557,5.755,5.934,5.96,6.082,6.282,6.333,6.664,7.285,7.419,7.583,7.628,7.725,7.768,7.905,8.021,8.112,8.172,8.318,8.387,8.462,8.495,8.936,9.474,9.603,9.714,9.764,9.801,9.91,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.05,0.356,0.467,0.709,0.852,0.911,1.037,1.167,1.205,1.691,1.778,1.827,1.913,2.05,2.156,2.21,2.281,2.341,2.645,2.874,3.234,3.262,3.646,3.732,3.871,4.402,4.504,4.75,4.822,4.979,5.088,5.201,5.329,5.377,5.665,5.891,5.935,6.073,6.319,6.417,6.542,6.73,6.87,6.908,7.312,7.402,7.437,7.636,7.865,7.887,7.967,8.479,8.61,8.766,9.064,9.28,9.394,9.492,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.04,0.227,0.6,0.685,0.731,0.751,0.859,1.312,1.413,2.015,2.122,2.465,2.838,2.978,3.078,3.332,4.261,4.311,4.362,4.84,5.124,5.647,5.786,5.959,6.001,6.498,6.651,7.031,7.081,7.217,7.642,8.662,9.107,9.357,9.74,9.862,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.062,0.166,0.223,0.35,0.393,0.832,1.108,1.162,1.343,1.613,1.714,1.823,2.604,2.759,2.93,3.419,3.671,3.909,3.984,4.114,4.201,4.395,4.661,4.896,5.278,5.419,5.463,5.609,5.795,5.847,6.374,6.643,6.701,7.239,7.331,7.511,8.003,8.13,8.152,8.419,8.712,8.943,9.32,9.823,9.933,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.151,0.613,0.706,1.148,1.201,1.314,1.355,1.382,1.473,1.553,1.668,1.706,2.208,2.309,2.38,2.447,2.649,2.883,2.914,3.094,3.285,3.804,3.831,4.375,4.586,4.8,4.909,4.989,5.034,5.164,5.316,5.528,5.608,5.921,6.025,6.233,6.415,6.508,6.999,7.036,7.114,7.22,7.317,7.363,7.414,7.736,7.75,8.032,8.909,8.964,9.282,9.314,9.372,9.415,9.457,9.542,9.65,9.72,9.824,9.848,9.96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.121,0.602,0.645,1.038,1.167,1.478,2.123,2.18,2.208,2.416,2.574,2.631,2.918,3.141,3.334,3.517,3.56,3.745,3.788,4.058,4.19,4.268,4.32,4.642,4.697,4.853,4.884,5.146,5.599,5.925,5.977,6.056,6.093,6.175,6.425,6.478,6.558,6.599,6.838,6.9,7.199,7.283,7.601,7.642,7.68,7.729,7.768,8.5,8.638,8.753,8.877,9.219,9.377,9.559,9.6,9.807,9.838,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.086,0.417,0.742,0.968,1.311,1.477,1.661,1.905,1.966,2.305,2.556,2.665,2.812,3.061,3.149,3.219,3.399,3.459,3.634,4.385,4.641,4.899,5.134,5.292,5.345,5.871,5.983,6.043,6.809,7.384,8.636,8.726,8.867,8.966,9.003,9.186,9.387,9.49,9.568,9.717,9.826,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
