0.035,0.056,0.146,0.203,0.242,0.41,0.431,0.467,0.504,0.54,0.61,0.652,0.726,0.906,1.084,1.16,1.246,1.299,1.368,1.408,1.463,1.523,1.571,1.62,1.641,1.691,1.748,1.772,1.797,1.876,1.927,1.965,2.091,2.188,2.212,2.253,2.311,2.374,2.387,2.475,2.5,2.53,2.6,2.638,2.668,2.807,3.011,3.078,3.157,3.412,3.43,3.451,3.474,3.495,3.518,3.585,3.668,3.701,3.742,3.825,3.936,4.113,4.15,4.178,4.247,4.312,4.35,4.431,4.477,4.618,4.659,4.738,4.887,4.929,4.956,5.026,5.056,5.076,5.203,5.241,5.259,5.337,5.419,5.458,5.523,5.558,5.829,5.903,5.945,5.971,6.078,6.245,6.264,6.309,6.348,6.418,6.468,6.671,6.855,6.892,7.019,7.07,7.132,7.2,7.275,7.299,7.316,7.416,7.459,7.557,7.584,7.6,7.62,7.741,7.804,7.833,7.955,8.055,8.123,8.159,8.224,8.267,8.392,8.475,8.5,8.512,8.551,8.593,8.746,8.809,8.904,8.962,9.002,9.049,9.109,9.311,9.339,9.365,9.403,9.442,9.472,9.587,9.622,9.704,9.72,9.771,9.809,9.84,9.869,9.895,9.969,nan,nan,nan,nan,nan,nan,nan
0.036,0.09,0.179,0.204,0.35,0.546,0.638,0.662,0.737,0.849,1.074,1.342,1.386,1.418,1.457,1.492,1.535,1.627,1.701,1.769,1.841,1.884,1.962,2.044,2.065,2.145,2.202,2.23,2.263,2.291,2.353,2.428,2.468,2.527,2.597,2.828,2.906,2.935,3.0,3.094,3.129,3.156,3.256,3.392,3.444,3.473,3.652,3.675,3.789,3.816,3.98,4.135,4.377,4.462,4.633,4.709,4.815,4.908,5.049,5.158,5.182,5.237,5.451,5.484,5.513,5.677,5.724,5.74,5.768,5.828,6.11,6.156,6.192,6.253,6.358,6.432,6.514,6.551,6.634,6.737,6.751,6.816,6.851,7.032,7.126,7.158,7.173,7.253,7.293,7.335,7.379,7.453,7.491,7.549,7.593,7.775,7.83,7.855,7.914,7.966,8.05,8.082,8.153,8.291,8.32,8.376,8.446,8.48,8.512,8.55,8.585,8.605,8.687,8.714,8.781,8.878,8.929,8.955,9.005,9.033,9.167,9.255,9.326,9.353,9.402,9.446,9.48,9.528,9.657,9.764,9.845,9.914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.037,0.089,0.261,0.364,0.398,0.484,0.577,0.825,0.873,0.944,1.105,1.23,1.267,1.363,1.616,1.686,1.754,1.773,1.817,1.919,1.983,2.016,2.116,2.258,2.304,2.328,2.443,2.462,2.511,2.653,2.693,2.72,2.9,3.168,3.203,3.269,3.344,3.551,3.663,3.74,3.878,3.917,3.978,4.054,4.096,4.145,4.184,4.204,4.428,4.557,4.616,4.679,4.726,4.763,4.828,4.868,5.074,5.192,5.212,5.285,5.492,5.527,5.633,5.8,5.829,5.86,5.88,5.912,5.953,6.102,6.126,6.264,6.355,6.381,6.429,6.49,6.568,6.701,6.76,6.978,6.994,7.067,7.237,7.349,7.417,7.468,7.533,7.613,7.706,7.739,7.929,7.959,8.014,8.133,8.194,8.231,8.432,8.461,8.539,8.718,8.781,8.905,9.095,9.173,9.23,9.267,9.289,9.467,9.518,9.587,9.671,9.888,9.925,9.969,9.988,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.101,0.12,0.145,0.175,0.319,0.429,0.47,0.554,0.582,0.67,0.774,0.917,0.993,1.156,1.25,1.321,1.456,1.472,1.491,1.595,1.65,1.891,2.307,2.342,2.379,2.448,2.515,2.57,2.63,2.718,2.788,2.872,2.927,2.987,3.064,3.131,3.207,3.268,3.293,3.638,3.715,3.82,3.922,4.004,4.068,4.181,4.204,4.261,4.291,4.388,4.522,4.54,4.721,4.74,4.778,4.83,4.863,4.914,4.943,5.008,5.126,5.162,5.204,5.239,5.287,5.335,5.4,5.637,5.716,5.745,5.799,5.941,6.112,6.196,6.267,6.289,6.487,6.512,6.542,6.589,6.694,6.721,6.827,6.954,7.045,7.085,7.233,7.262,7.336,7.41,7.437,7.569,7.933,7.972,8.054,8.099,8.292,8.309,8.349,8.443,8.526,8.575,8.724,8.77,8.804,8.843,8.972,9.01,9.034,9.129,9.287,9.363,9.391,9.481,9.541,9.661,9.689,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.12,0.206,0.257,0.49,0.512,0.629,0.667,0.698,0.76,0.813,0.876,0.943,1.025,1.074,1.107,1.142,1.251,1.362,1.387,1.411,1.509,1.565,1.63,1.659,1.749,1.873,1.979,1.998,2.037,2.1,2.184,2.328,2.415,2.442,2.505,2.561,2.598,2.634,2.694,2.733,2.773,2.831,2.862,3.005,3.087,3.108,3.163,3.256,3.28,3.448,3.466,3.513,3.634,3.687,3.779,4.008,4.104,4.231,4.288,4.497,4.596,4.61,4.697,4.901,4.995,5.016,5.074,5.118,5.24,5.29,5.389,5.417,5.5,5.559,5.614,5.704,5.858,5.952,6.008,6.109,6.144,6.177,6.191,6.253,6.305,6.321,6.423,6.507,6.545,6.649,6.701,6.723,6.81,6.853,6.9,6.929,6.962,6.997,7.135,7.193,7.28,7.3,7.362,7.43,7.455,7.496,7.536,7.618,7.634,7.681,7.744,7.781,7.867,7.901,7.938,7.99,8.048,8.135,8.181,8.208,8.337,8.369,8.422,8.444,8.49,8.526,8.58,8.643,8.665,8.903,8.953,9.05,9.188,9.271,9.35,9.387,9.491,9.631,9.688,9.815,9.871,9.903,9.922,9.941,9.962,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.164,0.193,0.249,0.291,0.323,0.358,0.526,0.699,0.803,0.875,0.907,1.025,1.207,1.265,1.304,1.377,1.402,1.414,1.458,1.499,1.566,1.597,1.698,1.732,1.803,1.833,1.861,1.984,2.102,2.134,2.152,2.35,2.391,2.457,2.497,2.516,2.542,2.585,2.638,2.778,2.933,2.996,3.043,3.094,3.201,3.416,3.463,3.575,3.644,3.692,3.799,3.841,3.867,4.015,4.033,4.142,4.197,4.236,4.42,4.44,4.53,4.644,4.687,4.724,4.743,4.84,4.941,5.012,5.151,5.247,5.303,5.482,5.53,5.57,5.696,5.8,5.998,6.084,6.112,6.184,6.222,6.253,6.285,6.414,6.456,6.516,6.585,6.842,6.879,6.927,7.142,7.19,7.206,7.365,7.513,7.565,7.591,7.626,7.654,7.739,7.754,7.873,7.928,7.957,7.997,8.028,8.048,8.099,8.151,8.205,8.281,8.346,8.422,8.517,8.54,8.567,8.678,8.804,8.911,8.985,9.004,9.029,9.058,9.128,9.194,9.271,9.344,9.372,9.406,9.497,9.593,9.624,9.67,9.75,9.898,9.936,9.996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.086,0.149,0.256,0.341,0.381,0.452,0.605,0.646,0.664,0.699,0.781,0.905,0.978,1.031,1.086,1.149,1.197,1.263,1.512,1.618,1.668,1.742,1.889,2.08,2.17,2.192,2.394,2.42,2.598,2.645,2.699,2.76,2.826,2.947,3.003,3.113,3.177,3.327,3.373,3.423,3.494,3.54,3.607,3.753,3.841,4.087,4.16,4.205,4.253,4.327,4.357,4.404,4.467,4.513,4.609,4.646,4.763,4.84,4.874,4.974,4.992,5.148,5.177,5.195,5.231,5.318,5.38,5.492,5.536,5.591,5.643,5.711,5.766,5.996,6.07,6.132,6.213,6.262,6.322,6.357,6.394,6.435,6.477,6.51,6.561,6.652,6.768,6.778,6.802,6.841,6.935,7.02,7.037,7.161,7.249,7.339,7.378,7.41,7.468,7.511,7.549,7.611,7.696,7.748,7.803,7.917,7.964,8.11,8.174,8.22,8.253,8.407,8.569,8.631,8.694,8.732,8.802,8.988,9.053,9.113,9.151,9.207,9.244,9.3,9.33,9.419,9.538,9.611,9.641,9.89,9.942,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.045,0.061,0.096,0.138,0.204,0.256,0.274,0.305,0.479,0.599,0.72,0.812,0.882,0.939,1.099,1.133,1.177,1.256,1.286,1.303,1.332,1.381,1.402,1.454,1.481,1.515,1.561,1.628,1.654,1.701,1.791,1.813,1.866,1.953,2.018,2.15,2.206,2.23,2.266,2.291,2.335,2.378,2.439,2.483,2.529,2.601,2.7,2.73,2.8,2.897,2.929,3.0,3.047,3.101,3.26,3.287,3.368,3.512,3.534,3.604,3.66,3.695,3.752,3.827,3.892,3.957,4.07,4.089,4.199,4.25,4.304,4.348,4.375,4.475,4.493,4.561,4.64,4.67,4.876,4.986,5.029,5.099,5.157,5.315,5.397,5.445,5.478,5.543,5.555,5.579,5.627,5.72,5.748,5.814,5.939,6.024,6.066,6.097,6.132,6.34,6.421,6.447,6.47,6.508,6.566,6.617,6.699,6.758,6.786,6.942,7.098,7.167,7.184,7.239,7.274,7.347,7.369,7.431,7.505,7.536,7.572,7.656,7.757,7.795,7.82,7.847,7.955,8.03,8.05,8.156,8.297,8.386,8.428,8.487,8.72,8.812,8.899,9.015,9.048,9.152,9.189,9.245,9.266,9.299,9.344,9.389,9.435,9.497,9.546,9.582,9.602,9.663,9.737,9.845,9.869,nan,nan,nan
0.157,0.217,0.349,0.404,0.446,0.492,0.593,0.641,0.697,0.73,0.829,0.901,0.937,1.047,1.133,1.234,1.303,1.49,1.526,1.549,1.599,1.662,1.777,1.894,1.928,2.01,2.181,2.215,2.249,2.279,2.303,2.32,2.452,2.492,2.624,2.666,2.698,2.973,3.035,3.068,3.109,3.165,3.198,3.232,3.274,3.361,3.383,3.506,3.546,3.556,3.723,3.869,4.228,4.328,4.4,4.453,4.56,4.579,4.71,4.738,4.919,4.953,5.035,5.055,5.08,5.113,5.147,5.195,5.263,5.369,5.394,5.427,5.473,5.519,5.613,5.64,5.68,5.74,5.845,5.886,5.935,5.989,6.073,6.101,6.151,6.199,6.317,6.364,6.502,6.519,6.609,6.722,6.879,6.965,6.982,7.09,7.146,7.18,7.397,7.47,7.56,7.594,7.635,7.665,7.684,7.765,7.836,7.939,7.997,8.025,8.093,8.128,8.172,8.449,8.482,8.553,8.571,8.603,8.697,8.758,8.8,8.92,8.944,8.983,9.052,9.074,9.092,9.127,9.258,9.371,9.406,9.458,9.495,9.522,9.546,9.648,9.681,9.768,9.883,9.954,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.07,0.195,0.324,0.449,0.599,0.629,0.701,0.761,0.788,0.814,0.865,0.918,0.947,1.053,1.068,1.117,1.179,1.268,1.309,1.364,1.4,1.547,1.625,1.702,1.734,1.755,1.817,1.887,1.942,2.018,2.048,2.133,2.284,2.323,2.435,2.454,2.533,2.598,2.693,2.823,2.977,2.998,3.043,3.135,3.185,3.277,3.326,3.441,3.465,3.498,3.552,3.638,3.681,3.723,3.748,3.826,3.869,3.977,4.017,4.284,4.318,4.386,4.441,4.516,4.658,4.812,4.878,4.907,4.942,5.17,5.197,5.216,5.247,5.277,5.356,5.491,5.628,5.682,5.738,5.793,5.816,5.951,6.048,6.08,6.196,6.231,6.399,6.416,6.505,6.528,6.602,6.709,6.78,6.85,6.861,6.999,7.04,7.059,7.124,7.306,7.361,7.442,7.57,7.747,7.769,7.81,7.849,7.977,8.233,8.304,8.374,8.432,8.451,8.481,8.526,8.557,8.601,8.652,8.741,8.81,8.849,9.037,9.063,9.096,9.126,9.149,9.203,9.257,9.4,9.442,9.547,9.571,9.595,9.653,9.727,9.773,9.882,9.935,9.981,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
