0.178,0.218,0.293,0.378,0.411,0.43,0.495,0.538,0.568,0.591,0.753,0.856,0.892,0.928,0.951,1.072,1.105,1.18,1.204,1.271,1.339,1.377,1.438,1.488,1.675,1.745,1.879,1.932,1.951,1.987,2.016,2.04,2.074,2.116,2.175,2.211,2.357,2.49,2.546,2.663,2.738,2.829,2.887,2.915,2.936,2.994,3.059,3.173,3.247,3.278,3.474,3.509,3.543,3.668,3.723,3.802,3.829,3.991,4.023,4.126,4.204,4.232,4.304,4.423,4.52,4.72,4.927,5.031,5.164,5.23,5.265,5.394,5.485,5.531,5.694,5.728,5.749,5.762,5.802,5.872,5.929,5.945,5.967,6.076,6.172,6.2,6.228,6.338,6.386,6.412,6.535,6.629,6.709,6.853,6.919,6.949,6.976,7.016,7.114,7.231,7.328,7.383,7.444,7.494,7.575,7.762,7.845,7.878,7.887,7.919,7.942,8.097,8.147,8.371,8.41,8.452,8.469,8.738,8.866,8.91,8.965,9.038,9.074,9.099,9.126,9.211,9.243,9.314,9.38,9.429,9.487,9.527,9.63,9.727,9.814,9.905,9.927,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.056,0.133,0.4,0.638,0.657,0.716,0.778,0.819,0.833,0.847,0.925,0.963,1.009,1.064,1.181,1.215,1.253,1.295,1.317,1.332,1.411,1.497,1.535,1.608,1.639,1.658,1.711,1.84,1.929,2.035,2.057,2.14,2.183,2.315,2.373,2.418,2.436,2.461,2.522,2.867,2.942,3.018,3.067,3.082,3.116,3.161,3.204,3.234,3.284,3.305,3.435,3.502,3.59,3.659,3.704,3.759,3.867,3.936,3.969,4.017,4.055,4.133,4.155,4.209,4.23,4.404,4.437,4.457,4.486,4.528,4.73,4.859,4.918,4.933,4.983,5.045,5.071,5.126,5.203,5.281,5.382,5.421,5.446,5.469,5.518,5.677,5.708,5.77,5.814,5.901,5.94,5.973,6.032,6.21,6.278,6.322,6.357,6.394,6.437,6.489,6.552,6.579,6.643,6.688,6.738,6.776,6.899,6.961,7.01,7.388,7.414,7.49,7.52,7.601,7.645,7.677,7.693,7.788,7.817,7.885,7.924,7.975,7.992,8.018,8.112,8.198,8.23,8.302,8.32,8.353,8.413,8.479,8.57,8.637,8.671,8.706,8.755,8.778,8.809,8.896,8.967,9.072,9.302,9.364,9.473,9.545,9.58,9.63,9.808,9.896,9.988,nan
0.176,0.45,0.494,0.651,0.71,0.736,0.768,0.799,0.822,0.924,0.956,0.999,1.059,1.097,1.202,1.299,1.354,1.405,1.439,1.585,1.705,1.736,1.776,1.964,2.056,2.303,2.455,2.472,2.551,2.618,2.69,2.767,2.824,2.858,2.883,2.936,2.977,3.023,3.136,3.177,3.266,3.328,3.365,3.401,3.552,3.703,3.746,3.834,3.869,3.928,3.988,4.026,4.12,4.203,4.236,4.323,4.435,4.53,4.627,4.754,4.865,4.885,4.935,5.036,5.084,5.102,5.139,5.212,5.433,5.472,5.532,5.582,5.633,5.667,5.701,5.722,5.906,5.99,6.023,6.111,6.157,6.258,6.379,6.476,6.508,6.536,6.633,6.713,6.849,6.928,6.999,7.041,7.084,7.372,7.498,7.552,7.733,7.768,8.101,8.218,8.386,8.452,8.568,8.664,8.918,9.026,9.071,9.2,9.293,9.352,9.416,9.555,9.668,9.737,9.776,9.804,9.842,9.913,9.952,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.077,0.12,0.15,0.227,0.269,0.319,0.377,0.423,0.443,0.464,0.523,0.584,0.608,0.652,0.715,0.74,0.778,0.93,0.966,1.017,1.062,1.12,1.236,1.298,1.378,1.465,1.556,1.594,1.707,1.798,1.877,1.978,2.041,2.111,2.278,2.392,2.567,2.605,2.659,2.79,2.814,2.935,3.001,3.018,3.119,3.301,3.366,3.426,3.484,3.515,3.765,3.858,3.904,4.095,4.123,4.143,4.193,4.226,4.347,4.432,4.54,4.635,4.712,4.743,4.811,4.839,4.937,5.043,5.083,5.162,5.181,5.213,5.228,5.331,5.367,5.406,5.433,5.469,5.508,5.554,5.612,5.644,5.666,5.744,5.802,5.897,5.956,5.993,6.041,6.076,6.142,6.217,6.413,6.446,6.5,6.664,6.723,6.754,6.963,7.0,7.064,7.092,7.115,7.2,7.222,7.255,7.306,7.348,7.381,7.492,7.669,7.845,7.877,7.997,8.152,8.198,8.253,8.296,8.313,8.415,8.473,8.514,8.576,8.726,8.823,8.912,8.937,9.042,9.2,9.294,9.323,9.369,9.444,9.464,9.503,9.581,9.63,9.697,9.785,9.866,9.923,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.087,0.113,0.297,0.358,0.417,0.464,0.548,0.587,0.611,0.673,0.798,0.854,0.919,1.001,1.017,1.038,1.066,1.137,1.189,1.242,1.441,1.496,1.678,1.722,1.84,1.874,1.903,1.965,1.998,2.054,2.078,2.094,2.147,2.179,2.319,2.427,2.569,2.605,2.732,2.769,2.858,2.936,3.006,3.024,3.04,3.088,3.172,3.292,3.317,3.388,3.462,3.483,3.505,3.675,3.859,3.88,4.002,4.047,4.07,4.285,4.321,4.338,4.39,4.458,4.524,4.555,4.667,4.704,4.788,4.88,4.906,4.961,4.996,5.089,5.106,5.124,5.177,5.222,5.298,5.319,5.384,5.408,5.487,5.572,5.625,5.692,5.759,5.817,5.84,5.957,6.004,6.054,6.076,6.201,6.249,6.472,6.572,6.648,6.708,6.798,6.854,6.969,7.0,7.114,7.208,7.281,7.353,7.444,7.497,7.682,7.731,7.787,7.847,8.086,8.127,8.208,8.252,8.327,8.359,8.492,8.568,8.719,8.74,8.851,8.895,8.964,8.983,9.005,9.054,9.131,9.159,9.342,9.372,9.637,9.693,9.785,9.827,9.851,9.879,9.911,9.925,9.967,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.046,0.076,0.142,0.176,0.243,0.27,0.298,0.325,0.378,0.693,0.749,0.832,0.86,1.25,1.324,1.34,1.37,1.408,1.425,1.466,1.503,1.529,1.633,1.717,1.842,1.858,1.876,1.961,2.061,2.076,2.168,2.287,2.414,2.453,2.487,2.51,2.749,2.783,2.815,2.839,2.95,3.036,3.357,3.38,3.535,3.584,3.61,3.739,3.785,3.848,3.893,3.918,3.951,3.986,4.049,4.1,4.138,4.212,4.279,4.329,4.402,4.436,4.633,4.759,5.025,5.073,5.129,5.199,5.241,5.266,5.291,5.324,5.562,5.605,5.674,5.704,5.767,5.906,6.108,6.175,6.301,6.332,6.432,6.472,6.5,6.626,6.722,6.845,6.953,7.145,7.164,7.181,7.212,7.35,7.479,7.544,7.651,7.7,7.769,7.85,7.96,7.99,8.044,8.098,8.155,8.207,8.341,8.37,8.487,8.605,8.641,8.688,8.77,8.944,8.966,8.987,9.043,9.15,9.183,9.198,9.23,9.285,9.365,9.427,9.477,9.556,9.605,9.647,9.785,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.029,0.072,0.165,0.292,0.318,0.433,0.504,0.573,0.612,0.665,0.72,0.826,0.932,1.153,1.234,1.256,1.318,1.38,1.432,1.542,1.576,1.629,1.654,1.736,1.813,1.884,1.928,1.969,2.243,2.36,2.449,2.529,2.586,2.649,2.722,2.799,2.942,3.074,3.124,3.177,3.266,3.289,3.403,3.451,3.512,3.627,3.653,3.7,3.751,3.773,3.937,4.076,4.134,4.227,4.342,4.363,4.553,4.589,4.668,4.736,4.767,4.807,4.879,4.911,4.953,4.985,5.118,5.147,5.164,5.197,5.38,5.419,5.488,5.723,5.791,5.869,6.029,6.163,6.236,6.282,6.314,6.419,6.479,6.606,6.658,6.713,6.768,6.823,6.845,6.866,6.901,7.049,7.128,7.16,7.185,7.284,7.349,7.445,7.678,7.781,7.805,7.877,7.92,7.941,8.011,8.081,8.13,8.187,8.308,8.369,8.389,8.448,8.484,8.496,8.679,8.725,8.916,8.966,9.026,9.067,9.108,9.122,9.133,9.23,9.277,9.381,9.422,9.488,9.523,9.564,9.677,9.722,9.949,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.05,0.073,0.195,0.217,0.236,0.328,0.376,0.431,0.677,0.786,0.897,0.955,1.085,1.209,1.237,1.302,1.351,1.372,1.599,1.66,1.753,1.828,1.93,1.983,2.168,2.272,2.316,2.338,2.491,2.589,2.609,2.668,2.762,2.824,2.921,3.056,3.175,3.22,3.285,3.441,3.522,3.585,3.65,3.753,3.786,3.859,3.943,3.971,4.023,4.052,4.157,4.241,4.371,4.515,4.548,4.59,4.726,4.769,4.881,4.912,4.997,5.042,5.098,5.177,5.232,5.325,5.378,5.49,5.507,5.625,5.694,5.805,5.86,5.997,6.048,6.07,6.108,6.129,6.181,6.211,6.286,6.491,6.646,6.762,6.793,6.841,6.909,7.015,7.149,7.211,7.333,7.447,7.519,7.555,7.768,7.828,7.881,7.973,8.042,8.074,8.117,8.219,8.263,8.323,8.361,8.493,8.574,8.598,8.641,8.687,8.797,8.823,8.863,8.903,8.957,9.0,9.049,9.093,9.118,9.222,9.286,9.322,9.374,9.409,9.515,9.543,9.644,9.718,9.755,9.771,9.868,9.908,9.938,9.979,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.058,0.104,0.14,0.257,0.388,0.418,0.533,0.569,0.664,0.725,0.75,0.818,0.904,0.929,1.033,1.26,1.314,1.342,1.39,1.458,1.512,1.62,1.655,1.687,1.777,1.857,1.932,1.997,2.14,2.173,2.26,2.333,2.445,2.504,2.682,2.776,2.859,2.952,2.98,3.007,3.093,3.121,3.252,3.318,3.351,3.408,3.427,3.461,3.482,3.802,3.841,3.883,3.996,4.05,4.11,4.143,4.165,4.258,4.489,4.539,4.645,4.702,4.751,4.781,4.854,4.938,4.955,5.017,5.108,5.148,5.164,5.197,5.291,5.402,5.472,5.512,5.574,5.61,5.657,5.707,5.725,5.746,5.788,5.83,5.855,5.918,5.983,6.002,6.043,6.091,6.173,6.243,6.377,6.472,6.618,6.656,6.684,6.743,6.779,6.854,6.882,7.017,7.048,7.117,7.151,7.205,7.33,7.399,7.464,7.507,7.56,7.619,7.652,7.697,7.729,7.763,7.828,7.865,7.957,8.066,8.139,8.26,8.28,8.396,8.483,8.539,8.626,8.664,8.865,8.919,8.973,9.039,9.079,9.169,9.201,9.29,9.349,9.384,9.431,9.459,9.484,9.78,9.868,9.929,nan,nan,nan,nan,nan,nan,nan,nan
0.044,0.087,0.158,0.194,0.266,0.301,0.382,0.427,0.566,0.583,0.613,0.648,0.68,0.764,0.834,0.874,0.944,1.026,1.054,1.132,1.2,1.266,1.32,1.358,1.58,1.609,1.679,1.714,1.844,1.876,1.912,1.975,2.26,2.366,2.424,2.496,2.515,2.59,2.712,2.824,2.893,2.911,3.049,3.081,3.129,3.18,3.259,3.297,3.424,3.444,3.534,3.561,3.589,3.624,3.709,3.839,3.859,3.898,3.92,3.998,4.043,4.306,4.53,4.637,4.679,4.756,4.786,4.885,5.045,5.182,5.252,5.276,5.362,5.495,5.539,5.594,5.646,5.687,5.814,5.859,5.88,5.923,6.022,6.178,6.252,6.291,6.308,6.365,6.431,6.564,6.622,6.68,6.802,6.895,6.925,7.003,7.066,7.115,7.243,7.261,7.328,7.37,7.438,7.518,7.559,7.624,7.748,7.849,7.888,7.958,7.977,7.998,8.177,8.195,8.206,8.233,8.271,8.32,8.388,8.415,8.46,8.502,8.547,8.618,8.687,8.734,8.804,8.873,8.922,9.052,9.075,9.096,9.15,9.189,9.234,9.32,9.337,9.463,9.602,9.637,9.71,9.753,9.818,9.954,nan,nan,nan,nan,nan,nan,nan,nan
