0.426,0.711,0.749,1.037,1.198,1.761,1.823,1.967,2.042,2.712,2.869,3.105,3.288,3.362,3.43,3.484,3.574,3.882,3.941,3.973,4.09,4.116,4.159,4.253,4.307,4.37,4.45,4.593,4.991,5.552,5.725,5.788,5.95,6.266,6.819,6.889,6.979,7.023,7.198,7.256,7.815,7.891,7.962,8.156,8.517,8.713,9.038,9.185,9.245,9.348,9.564,9.616,9.739,9.96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.065,0.204,0.512,0.616,0.901,1.001,1.039,1.299,1.403,1.427,1.609,2.094,2.185,2.242,2.309,2.494,2.56,2.837,3.081,3.281,3.401,3.465,3.566,3.897,4.049,4.092,4.121,4.431,4.683,4.771,4.867,5.198,5.406,5.699,5.819,5.876,5.921,5.94,5.977,6.211,6.242,6.284,6.37,6.398,6.59,7.114,7.219,7.588,8.029,8.136,8.166,8.348,8.386,8.51,8.967,9.186,9.25,9.318,9.479,9.922,nan,nan,nan,nan,nan,nan,nan
0.259,0.353,0.591,0.655,0.725,0.861,1.256,1.441,1.473,1.822,1.993,2.098,2.396,2.706,2.884,3.305,3.345,3.566,3.801,4.063,4.396,4.533,4.789,5.05,5.112,5.208,6.173,6.233,6.374,6.505,6.538,6.73,6.913,7.336,7.44,8.53,8.643,8.929,9.384,9.498,9.519,9.687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.034,0.136,0.237,0.276,0.606,0.88,0.95,0.996,1.274,1.36,1.672,2.217,2.301,2.475,2.567,2.675,2.84,2.878,3.084,3.135,3.324,3.606,3.699,3.903,4.0,4.362,4.837,4.903,4.936,5.203,5.327,5.565,5.736,5.797,5.816,6.198,6.222,6.448,6.647,6.972,7.013,7.111,7.15,7.195,7.282,7.376,7.609,7.783,8.103,8.468,8.628,8.735,8.792,9.031,9.062,9.397,9.541,9.66,9.749,nan,nan,nan,nan,nan,nan,nan,nan
0.06,0.139,0.509,0.691,0.837,1.362,1.615,1.732,1.896,2.076,2.537,2.825,2.914,2.944,3.045,3.266,3.398,3.441,3.789,3.981,4.054,4.208,4.32,4.587,4.765,4.958,5.261,5.325,5.639,5.68,5.789,5.856,6.0,6.391,6.513,6.897,6.951,7.272,7.558,7.826,8.022,8.088,8.226,8.55,8.633,8.903,8.926,9.092,9.177,9.207,9.304,9.34,9.38,9.481,9.506,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.346,0.482,0.518,0.59,0.896,0.957,1.116,1.174,1.327,1.623,1.822,1.95,2.048,2.158,2.527,2.998,3.03,3.327,3.355,3.421,3.698,3.93,4.177,4.394,4.542,4.72,5.007,5.078,5.294,5.376,5.849,5.888,5.984,6.169,6.43,6.947,7.372,7.661,7.914,7.975,8.127,8.278,8.389,8.487,8.639,9.075,9.183,9.799,9.831,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.169,0.217,0.34,0.381,0.554,0.684,1.122,1.179,1.198,1.365,1.409,1.555,2.077,2.379,2.57,2.627,2.702,2.804,3.14,3.512,3.673,4.302,4.346,4.622,5.044,5.17,5.234,5.377,5.578,5.747,6.456,6.994,7.573,7.685,7.909,8.026,8.111,8.214,8.361,8.577,8.804,9.161,9.469,9.634,9.727,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.038,0.083,0.86,0.979,1.03,1.167,1.338,1.384,1.977,2.061,2.274,2.373,2.4,2.675,3.392,4.225,4.262,4.308,4.349,4.527,4.563,4.662,4.967,5.125,5.249,5.3,5.387,5.459,5.525,5.633,5.767,5.872,6.303,7.283,7.337,7.445,7.482,7.643,7.744,7.936,8.03,8.307,8.381,8.479,8.531,8.585,8.68,9.125,9.553,9.791,9.971,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.138,0.204,0.457,0.49,0.612,1.038,1.077,1.137,1.213,1.272,1.297,1.836,2.132,2.37,2.964,3.201,3.255,3.651,3.772,4.081,4.231,4.326,4.399,4.56,4.712,5.287,5.709,5.749,5.884,5.997,6.386,6.437,6.832,6.851,7.049,7.285,7.334,7.431,7.581,7.749,7.882,8.003,8.041,8.45,8.577,8.786,9.798,9.861,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.161,0.293,0.729,0.764,1.356,1.419,1.505,2.181,2.295,2.649,2.897,2.987,3.029,3.071,3.109,3.125,3.235,3.418,3.67,4.136,4.365,4.544,4.614,4.727,4.934,5.022,5.186,5.594,5.676,5.923,6.331,6.616,6.662,6.735,7.137,7.272,7.448,7.502,7.601,7.641,7.822,7.954,8.151,8.342,8.602,8.731,9.27,9.508,9.709,9.735,9.764,9.809,9.923,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.091,0.381,0.516,0.572,0.67,0.716,0.877,1.231,1.363,1.642,1.86,1.894,2.221,2.305,2.35,3.128,3.535,3.609,3.722,4.656,4.714,5.083,5.123,5.222,5.36,5.886,6.443,6.512,6.565,6.69,6.733,6.943,7.048,7.141,7.499,7.562,7.921,8.116,8.145,8.583,8.725,8.807,9.009,9.036,9.147,9.465,9.561,9.594,9.733,9.764,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
